apiname_guess,key_lower,role,win_rate_role,pick_rate_role,ban_rate_role,role_rate,tier_role,rank_role,counters_ids,counters_wr
Morgana,morgana,MID,0.53042,0.04900279999999999,0.323784,0.312316,1,1,950;133;10,0.4425;0.4811;0.4864
Briar,briar,JUNGLE,0.528462,0.0518046,0.109624,0.912789,1,2,33;24;25,0.4793;0.4831;0.4852
Milio,milio,SUPPORT,0.527022,0.0672147,0.0624479,0.997623,1,2,37,0.4938
Brand,brand,SUPPORT,0.523227,0.0442538,0.04707059999999999,0.64366,1,4,7;142;101,0.4682;0.4845;0.4851
Sett,sett,TOP,0.523161,0.0845231,0.060842900000000005,0.909541,1,2,54;27;67,0.4838;0.4872;0.4902
Amumu,amumu,JUNGLE,0.522804,0.04380599999999999,0.030886199999999996,0.866891,1,7,25;36;63,0.4736;0.4875;0.4895
Garen,garen,TOP,0.52242,0.0928471,0.0641983,0.917733,1,1,10;67;133,0.4572;0.4706;0.4740
Malphite,malphite,TOP,0.522332,0.0750243,0.112518,0.678596,1,3,36;14;31,0.4526;0.4560;0.4599
Jax,jax,JUNGLE,0.52112,0.0637,0.127521,0.483406,1,3,63;25;36,0.4677;0.4758;0.4788
Warwick,warwick,JUNGLE,0.520196,0.0626877,0.11280200000000001,0.754434,1,4,25;33;24,0.4720;0.4781;0.4800
Veigar,veigar,MID,0.519972,0.0616212,0.0286068,0.775927,1,3,101;10;31,0.4751;0.4780;0.4838
Nami,nami,SUPPORT,0.519315,0.0776237,0.0154009,0.998054,1,3,32;63;902,0.4913;0.4919;0.4955
Morgana,morgana,SUPPORT,0.517619,0.091906,0.323836,0.585757,1,1,902;17;37,0.4670;0.4752;0.4844
Malzahar,malzahar,MID,0.517492,0.0767468,0.153316,0.890733,1,2,14;10;901,0.4357;0.4614;0.4692
Diana,diana,JUNGLE,0.516778,0.0916812,0.13496,0.665821,1,1,233;11;19,0.4683;0.4805;0.4814
Mordekaiser,mordekaiser,TOP,0.516373,0.08260519999999999,0.15512,0.888077,1,4,27;74;67,0.4663;0.4722;0.4746
Diana,diana,MID,0.515853,0.0440734,0.13495,0.320076,1,5,14;50;31,0.4377;0.4652;0.4696
Volibear,volibear,JUNGLE,0.51461,0.0529586,0.0882156,0.646756,1,9,25;24;63,0.4671;0.4753;0.4797
Jinx,jinx,ADC,0.514201,0.179944,0.0751141,0.993242,1,1,45;115;800,0.4678;0.4853;0.4911
Fizz,fizz,MID,0.514063,0.0517445,0.0815528,0.92915,1,6,38;127;74,0.4688;0.4691;0.4721
Ashe,ashe,ADC,0.513349,0.151028,0.111167,0.91239,1,2,45;115;96,0.4801;0.4819;0.4834
Miss Fortune,missfortune,ADC,0.510438,0.137893,0.0489505,0.943054,1,4,895;115;45,0.4691;0.4772;0.4778
Master Yi,masteryi,JUNGLE,0.509994,0.0839472,0.164633,0.923984,1,6,33;24;32,0.4465;0.4599;0.4717
Viego,viego,JUNGLE,0.507564,0.106273,0.090148,0.965314,1,5,33;32;24,0.4574;0.4691;0.4718
Kayn,kayn,JUNGLE,0.505537,0.08627259999999999,0.0788015,0.91236,1,8,143;11;25,0.4717;0.4747;0.4769
