matchId,gameVersion,queueId,gameCreation,bans_blue,bans_red,picks_blue,picks_red,winner,side_blue_pick_count,side_red_pick_count,bans_blue_names,bans_red_names,picks_blue_names,picks_red_names,label,vector
LA1_1643849531,15.16.704.6097,420,1755723270165,"[5, 81, 420, 157, 16]","[7, 54, 84, 51, 56]","[82, 111, 99, 96, 201]","[14, 245, 45, 15, 50]",BLUE,5,5,"['Xin Zhao', 'Ezreal', 'Illaoi', 'Yasuo', 'Soraka']","['LeBlanc', 'Malphite', 'Akali', 'Caitlyn', 'Nocturne']","['Mordekaiser', 'Nautilus', 'Lux', ""Kog'Maw"", 'Braum']","['Sion', 'Ekko', 'Veigar', 'Sivir', 'Swain']",1,"[82, 111, 99, 96, 201, 14, 245, 45, 15, 50, 1]"
LA1_1644009350,15.16.704.6097,420,1755757399732,"[90, 804, 35, 799, 117]","[55, 800, 90, 777, 24]","[86, 9, 111, 115, 80]","[427, 11, 157, 51, 555]",RED,5,5,"['Malzahar', 'Yunara', 'Shaco', 'Ambessa', 'Lulu']","['Katarina', 'Mel', 'Malzahar', 'Yone', 'Jax']","['Garen', 'Fiddlesticks', 'Nautilus', 'Ziggs', 'Pantheon']","['Ivern', 'Master Yi', 'Yasuo', 'Caitlyn', 'Pyke']",0,"[86, 9, 111, 115, 80, 427, 11, 157, 51, 555, 0]"
LA1_1642286837,15.16.704.3186,420,1755205339357,"[122, 117, 3, 35, 111]","[902, 39, 804, 35, 17]","[10, 234, 80, 145, 89]","[157, 78, 13, 202, 9]",RED,5,5,"['Darius', 'Lulu', 'Galio', 'Shaco', 'Nautilus']","['Milio', 'Irelia', 'Yunara', 'Shaco', 'Teemo']","['Kayle', 'Viego', 'Pantheon', ""Kai'Sa"", 'Leona']","['Yasuo', 'Poppy', 'Ryze', 'Jhin', 'Fiddlesticks']",0,"[10, 234, 80, 145, 89, 157, 78, 13, 202, 9, 0]"
LA1_1643174705,15.16.704.6097,420,1755480487010,"[157, 82, 17, 202, 53]","[35, 804, 875, 103, -1]","[122, 11, 131, 110, 117]","[114, 30, 9, 145, 111]",RED,5,5,"['Yasuo', 'Mordekaiser', 'Teemo', 'Jhin', 'Blitzcrank']","['Shaco', 'Yunara', 'Sett', 'Ahri', 'NoBan']","['Darius', 'Master Yi', 'Diana', 'Varus', 'Lulu']","['Fiora', 'Karthus', 'Fiddlesticks', ""Kai'Sa"", 'Nautilus']",0,"[122, 11, 131, 110, 117, 114, 30, 9, 145, 111, 0]"
LA1_1643360750,15.16.704.6097,420,1755550477784,"[119, 157, 233, 238, 79]","[111, 18, 83, 28, 35]","[799, 246, 800, 222, 53]","[114, 245, 112, 523, 99]",BLUE,5,5,"['Draven', 'Yasuo', 'Briar', 'Zed', 'Gragas']","['Nautilus', 'Tristana', 'Yorick', 'Evelynn', 'Shaco']","['Ambessa', 'Qiyana', 'Mel', 'Jinx', 'Blitzcrank']","['Fiora', 'Ekko', 'Viktor', 'Aphelios', 'Lux']",1,"[799, 246, 800, 222, 53, 114, 245, 112, 523, 99, 1]"
LA1_1644745666,15.16.706.7476,420,1756012279170,"[99, 201, 154, 895, -1]","[90, 122, 25, 14, 119]","[48, 36, 80, 67, 888]","[92, 106, 55, 96, 267]",BLUE,5,5,"['Lux', 'Braum', 'Zac', 'Nilah', 'NoBan']","['Malzahar', 'Darius', 'Morgana', 'Sion', 'Draven']","['Trundle', 'Dr. Mundo', 'Pantheon', 'Vayne', 'Renata Glasc']","['Riven', 'Volibear', 'Katarina', ""Kog'Maw"", 'Nami']",1,"[48, 36, 80, 67, 888, 92, 106, 55, 96, 267, 1]"
LA1_1643671325,15.16.704.6097,420,1755652444856,"[131, 16, -1, 81, 238]","[106, 48, 233, 122, 56]","[875, 711, 777, 202, 43]","[420, 517, 99, 222, 555]",BLUE,5,5,"['Diana', 'Soraka', 'NoBan', 'Ezreal', 'Zed']","['Volibear', 'Trundle', 'Briar', 'Darius', 'Nocturne']","['Sett', 'Vex', 'Yone', 'Jhin', 'Karma']","['Illaoi', 'Sylas', 'Lux', 'Jinx', 'Pyke']",1,"[875, 711, 777, 202, 43, 420, 517, 99, 222, 555, 1]"
LA1_1643920603,15.16.704.6097,420,1755740959415,"[51, 117, 804, 122, 268]","[80, 84, 360, 16, 83]","[86, 238, 115, 145, 53]","[98, 950, 4, 81, 350]",BLUE,5,5,"['Caitlyn', 'Lulu', 'Yunara', 'Darius', 'Azir']","['Pantheon', 'Akali', 'Samira', 'Soraka', 'Yorick']","['Garen', 'Zed', 'Ziggs', ""Kai'Sa"", 'Blitzcrank']","['Shen', 'Naafiri', 'Twisted Fate', 'Ezreal', 'Yuumi']",1,"[86, 238, 115, 145, 53, 98, 950, 4, 81, 350, 1]"
LA1_1642762433,15.16.704.6097,420,1755366816186,"[111, 122, 84, 800, 25]","[35, 223, 800, 238, 48]","[98, 64, 131, 22, 63]","[887, 80, 157, 804, 40]",BLUE,5,5,"['Nautilus', 'Darius', 'Akali', 'Mel', 'Morgana']","['Shaco', 'Tahm Kench', 'Mel', 'Zed', 'Trundle']","['Shen', 'Lee Sin', 'Diana', 'Ashe', 'Brand']","['Gwen', 'Pantheon', 'Yasuo', 'Yunara', 'Janna']",1,"[98, 64, 131, 22, 63, 887, 80, 157, 804, 40, 1]"
LA1_1643594967,15.16.704.6097,420,1755632776635,"[83, 50, 131, 33, 804]","[238, 77, 111, -1, 82]","[14, 246, 105, 96, 89]","[48, 11, 142, 22, 80]",RED,5,5,"['Yorick', 'Swain', 'Diana', 'Rammus', 'Yunara']","['Zed', 'Udyr', 'Nautilus', 'NoBan', 'Mordekaiser']","['Sion', 'Qiyana', 'Fizz', ""Kog'Maw"", 'Leona']","['Trundle', 'Master Yi', 'Zoe', 'Ashe', 'Pantheon']",0,"[14, 246, 105, 96, 89, 48, 11, 142, 22, 80, 0]"
