BB1,BB2,BB3,BB4,BB5,RB1,RB2,RB3,RB4,RB5,Winner
82,111,99,96,201,14,245,45,15,50,1
86,9,111,115,80,427,11,157,51,555,0
10,234,80,145,89,157,78,13,202,9,0
122,11,131,110,117,114,30,9,145,111,0
799,246,800,222,53,114,245,112,523,99,1
48,36,80,67,888,92,106,55,96,267,1
875,711,777,202,43,420,517,99,222,555,1
86,238,115,145,53,98,950,4,81,350,1
98,64,131,22,63,887,80,157,804,40,1
14,246,105,96,89,48,11,142,22,80,0
82,77,90,895,201,36,141,127,15,54,1
897,11,127,145,902,14,80,7,18,115,1
893,233,115,29,53,8,33,950,429,267,1
74,56,131,67,44,31,106,268,145,518,1
122,56,147,96,267,83,64,103,895,16,1
27,234,112,222,99,875,23,238,22,50,0
54,11,161,145,800,875,106,238,202,25,0
901,19,45,202,44,111,141,163,804,12,0
897,102,950,804,53,266,48,45,202,37,1
48,233,45,202,35,266,234,7,22,161,1
106,200,84,222,412,24,131,134,21,235,0
58,59,711,202,89,54,62,91,15,161,1
799,11,7,67,267,36,517,42,90,37,1
150,64,518,51,267,98,887,517,222,143,0
74,2,112,145,89,6,56,90,67,63,0
54,233,45,21,143,10,234,134,804,111,0
58,203,131,360,57,875,11,127,523,16,1
23,141,800,202,99,17,234,134,15,555,1
126,113,800,360,497,266,82,45,21,40,1
58,19,54,115,26,75,517,134,67,267,0
19,141,45,21,800,10,121,103,145,37,1
23,91,90,202,99,106,141,1,804,143,0
82,19,166,21,902,14,35,34,804,59,0
84,234,45,523,235,41,59,157,202,143,0
83,48,800,202,89,36,77,90,51,25,0
82,141,13,81,910,106,35,99,202,147,0
2,80,115,804,89,31,104,90,51,16,0
14,64,3,145,143,36,234,13,15,43,1
6,200,893,498,99,106,234,84,110,412,1
266,131,8,29,53,58,78,90,15,517,1
54,238,4,222,902,79,234,126,523,432,0
14,77,246,110,143,266,131,157,804,147,0
67,35,105,202,99,74,11,45,21,800,0
106,238,55,202,25,14,887,45,236,421,1
266,421,112,895,267,82,11,90,901,35,1
516,876,238,222,16,82,64,8,145,53,0
122,876,157,110,45,887,104,517,42,555,0
420,238,161,67,147,82,9,86,221,432,1
57,28,4,29,350,19,106,55,221,60,0
777,517,238,804,902,80,59,711,498,497,0
98,234,800,804,350,875,63,42,523,223,0
875,106,76,81,80,14,517,157,145,201,1
24,59,517,21,497,98,77,1,222,902,1
83,19,131,18,111,98,106,245,145,99,0
75,950,45,222,497,83,20,90,119,40,1
516,11,245,202,497,36,234,4,222,555,1
58,9,166,222,201,84,141,80,145,555,0
36,254,711,51,161,122,517,246,145,111,1
80,131,777,202,223,86,517,1,51,99,1
875,233,83,222,143,240,11,268,18,35,1
2,11,910,901,350,6,19,55,22,25,1
875,64,69,51,43,36,9,6,202,99,0
141,79,163,804,37,126,106,157,145,25,0
240,234,61,804,40,75,517,157,67,99,0
80,246,166,202,518,98,143,4,22,43,1
14,28,105,29,99,875,121,238,67,25,1
74,48,55,235,201,711,11,3,202,53,0
164,106,163,67,267,122,35,61,804,117,0
266,19,99,145,235,82,62,800,202,518,0
23,20,105,804,161,31,33,4,51,50,1
8,234,3,81,99,875,11,131,22,902,1
106,11,238,67,117,98,233,517,22,201,1
122,246,245,221,161,893,30,59,202,497,1
86,20,90,67,25,82,234,157,901,89,1
150,107,99,202,50,75,234,161,236,201,1
82,98,166,145,50,875,131,777,22,25,1
82,245,157,202,518,14,80,517,236,37,1
221,154,268,523,16,420,56,3,901,223,1
86,11,90,96,201,54,950,105,145,37,1
2,60,45,202,412,98,121,166,901,44,1
240,77,84,202,432,86,141,246,21,99,0
164,62,90,145,111,799,887,103,21,50,1
86,102,18,110,142,122,24,85,222,16,0
150,121,910,22,526,17,233,99,236,63,0
875,234,90,96,902,75,106,142,222,412,1
875,35,84,804,63,19,106,950,21,147,0
56,48,34,429,25,122,234,99,21,89,1
122,48,45,67,117,17,876,105,115,43,1
24,59,157,115,518,875,64,90,22,89,0
82,106,4,202,64,240,56,127,15,89,1
39,234,127,236,25,82,19,105,804,54,1
45,254,517,202,80,122,59,115,18,99,1
266,11,80,67,350,114,36,84,804,412,0
31,254,910,222,117,75,111,154,22,143,0
875,876,103,202,50,82,5,245,21,147,0
82,233,157,67,50,51,56,80,202,43,1
266,19,90,236,555,875,9,268,18,223,0
17,120,157,498,234,14,104,517,22,111,0
62,19,103,157,350,106,35,238,804,902,0
133,143,103,235,154,10,59,55,804,50,1
31,64,910,804,111,54,245,13,59,40,1
23,48,142,22,111,17,200,55,804,99,0
122,245,105,145,142,86,77,8,21,99,0
17,11,127,18,555,24,48,105,119,53,1
43,48,41,804,99,31,104,38,901,54,0
8,82,893,18,16,122,234,4,804,800,1
875,35,61,21,518,48,104,136,804,12,0
17,113,246,22,117,266,111,711,18,85,0
122,254,90,22,412,875,82,45,236,89,1
83,60,517,202,43,39,238,13,15,800,0
897,245,910,901,432,98,876,777,804,111,1
74,121,893,145,29,27,234,43,360,78,0
240,141,45,202,267,875,35,91,22,412,1
266,56,910,67,89,122,121,800,202,63,0
58,19,517,901,45,92,64,54,222,25,0
50,141,157,110,223,516,80,84,145,902,1
83,141,115,236,267,48,254,84,145,53,1
78,56,91,145,147,19,48,901,221,161,0
75,111,157,81,518,106,113,90,51,201,0
82,106,103,221,267,2,233,517,804,43,1
75,141,31,202,412,86,106,131,21,89,0
126,77,4,18,99,54,107,105,202,53,1
122,64,517,901,161,62,20,131,81,235,1
161,245,800,67,50,799,517,157,222,80,1
92,154,112,222,99,85,245,67,51,89,0
106,31,238,804,526,266,254,245,236,16,1
54,64,157,901,78,84,19,142,429,267,1
39,78,103,21,161,13,876,99,222,147,0
14,233,55,67,99,98,11,105,21,518,0
122,11,517,51,902,23,19,84,202,555,0
875,3,84,110,43,897,5,99,18,25,1
266,106,238,236,99,24,11,157,51,161,0
82,234,54,895,147,14,32,64,21,43,0
23,141,245,523,40,6,19,4,51,526,0
82,19,45,901,526,36,233,157,67,800,0
6,59,800,18,99,86,19,131,21,43,0
150,233,90,67,117,266,79,910,96,902,0
266,48,103,429,89,27,245,246,18,111,0
122,131,517,222,147,36,79,103,523,412,1
48,19,246,202,99,150,9,910,51,16,0
10,106,134,51,99,420,887,112,202,147,0
31,77,90,29,888,17,245,80,202,64,1
68,19,7,222,117,875,106,163,51,50,0
516,245,157,498,111,420,517,127,222,143,1
14,141,30,15,34,8,11,115,51,80,0
54,19,901,51,800,266,233,90,15,99,1
777,80,103,22,201,68,11,157,202,89,0
74,233,245,523,201,13,56,84,110,99,0
14,141,136,145,555,875,9,8,360,35,0
39,131,777,51,12,24,154,161,67,117,0
161,875,1,81,412,106,78,45,15,147,1
10,111,238,202,161,79,9,246,804,432,0
114,48,45,67,267,86,19,131,498,412,0
106,32,90,67,902,875,104,161,804,3,1
6,234,245,67,9,516,11,910,81,412,1
83,56,84,804,63,75,141,517,222,412,0
86,30,112,360,526,27,11,103,202,16,0
133,234,517,45,78,17,48,804,51,43,1
98,245,59,51,412,54,60,157,81,3,1
17,154,157,67,117,86,876,90,21,432,0
875,48,161,115,555,10,77,134,51,99,1
67,59,10,202,161,24,63,14,523,89,1
240,19,84,222,44,82,64,777,51,89,1
75,11,45,202,53,150,64,90,51,267,0
10,11,131,222,910,75,141,887,15,80,1
86,131,24,523,235,233,11,517,202,63,0
27,233,103,222,117,875,56,127,202,111,1
133,31,7,110,25,36,56,131,51,143,0
82,113,910,523,80,14,200,246,145,267,0
82,35,234,15,412,427,107,131,67,201,0
114,35,3,901,143,83,64,103,236,910,0
875,121,163,901,147,420,234,61,110,800,1
897,141,166,202,99,48,111,25,804,117,1
119,234,142,360,201,54,141,517,15,43,1
48,141,910,145,89,950,106,268,804,99,1
236,141,103,14,111,82,164,39,15,201,0
48,233,517,202,35,39,106,157,222,63,1
875,106,105,222,902,75,246,131,236,161,0
420,106,90,22,235,23,63,157,119,111,0
98,203,517,22,63,82,33,99,202,16,1
27,19,127,51,412,2,950,910,804,89,0
24,28,105,223,235,58,517,10,222,111,0
887,131,157,804,53,23,11,105,523,37,0
150,19,800,145,40,14,234,1,67,902,0
76,77,17,22,201,240,11,34,29,526,1
82,11,45,236,201,85,19,4,523,54,0
41,56,105,145,555,82,19,99,202,518,1
82,48,4,202,99,103,19,63,523,526,1
58,121,99,18,111,266,131,518,51,101,0
68,19,90,67,40,6,9,246,202,111,1
897,245,8,51,235,36,60,800,29,267,0
516,64,2,498,142,23,104,90,222,432,0
17,234,136,166,518,80,203,246,202,267,1
54,72,799,15,117,92,106,105,202,40,0
516,876,901,800,45,150,64,112,498,99,0
266,19,800,21,50,234,154,157,202,37,1
82,111,777,67,44,48,233,161,236,98,1
24,64,3,202,99,54,141,131,901,902,0
31,106,45,42,80,98,19,800,51,12,1
75,887,105,81,1,86,32,711,157,54,0
122,11,800,51,518,114,245,84,804,54,1
150,82,7,523,25,14,141,136,222,902,1
421,19,74,81,101,6,11,777,21,143,1
122,24,238,67,161,150,254,55,21,99,1
48,113,875,145,37,82,11,39,222,80,0
875,121,10,145,12,54,59,61,236,800,1
80,60,777,15,143,122,876,8,22,111,0
82,104,105,804,40,24,56,3,360,267,1
122,48,142,222,910,234,5,38,145,43,1
266,203,245,81,78,875,106,7,202,235,1
8,5,711,222,37,420,887,517,22,99,1
875,234,1,115,43,31,121,103,15,16,0
266,82,55,222,432,23,238,157,18,63,1
48,33,163,67,99,777,876,90,29,111,1
75,113,7,21,117,98,104,39,67,161,1
58,245,45,804,50,240,82,136,81,161,0
150,59,61,523,267,777,62,517,222,117,0
82,11,45,51,63,19,141,90,498,412,1
106,5,84,22,147,31,19,142,202,99,0
24,131,112,221,53,150,11,84,51,22,1
122,80,1,22,89,98,59,13,21,53,0
