champ_id,apiname,name,hp,hpperlevel,mp,mpperlevel,movespeed,armor,armorperlevel,spellblock,spellblockperlevel,attackrange,hpregen,hpregenperlevel,mpregen,mpregenperlevel,crit,critperlevel,attackdamage,attackdamageperlevel,attackspeedperlevel,attackspeed,cc_score,engage_score,peel_score,zone_control_score,magic_ratio,phys_ratio,tankiness,meta_strength
266,Aatrox,Aatrox,650,114,0,0.0,345,38,4.8,32,2.05,175,3.0,0.5,0.0,0.0,0,0,60,5.0,2.5,0.651,0.0,1.0,2.0,2.0,0.5,0.5,2.05,0.0
103,Ahri,Ahri,590,104,418,25.0,330,21,4.2,30,1.3,550,2.5,0.6,8.0,0.8,0,0,53,3.0,2.2,0.668,0.0,1.0,0.0,0.0,1.0,0.0,1.61,0.0
84,Akali,Akali,600,119,200,0.0,345,23,4.7,37,2.05,125,9.0,0.9,50.0,0.0,0,0,62,3.3,3.2,0.625,0.0,2.0,0.0,0.0,1.0,0.0,1.8,0.0
166,Akshan,Akshan,630,107,350,40.0,330,26,4.7,30,1.3,500,3.75,0.65,8.2,0.7,0,0,52,3.0,4.0,0.638,0.0,0.0,1.0,0.0,1.0,0.0,1.75,0.0
12,Alistar,Alistar,685,120,350,40.0,330,40,4.7,32,2.05,125,8.5,0.85,8.5,0.8,0,0,62,3.75,2.125,0.625,1.0,0.0,0.0,0.0,0.5,0.5,2.125,0.0
799,Ambessa,Ambessa,630,110,200,0.0,335,35,4.9,32,2.05,125,8.5,0.75,50.0,0.0,0,0,63,3.0,2.5,0.625,1.0,1.0,1.0,0.0,0.5,0.5,1.97,0.0
32,Amumu,Amumu,685,94,285,40.0,335,33,4.0,32,2.05,125,9.0,0.85,7.4,0.55,0,0,57,3.8,2.18,0.736,2.0,0.0,1.0,0.0,0.5,0.5,1.985,0.0
34,Anivia,Anivia,550,92,495,45.0,325,21,4.5,30,1.3,600,5.5,0.55,8.0,0.8,0,0,51,3.2,1.68,0.658,1.0,0.0,0.0,1.0,1.0,0.0,1.57,0.0
1,Annie,Annie,560,96,418,25.0,335,23,4.0,30,1.3,625,5.5,0.55,8.0,0.8,0,0,50,2.65,1.36,0.61,0.0,0.0,1.0,2.0,1.0,0.0,1.62,0.0
523,Aphelios,Aphelios,600,102,348,42.0,325,26,4.2,30,1.3,550,3.25,0.55,6.5,0.4,0,0,55,2.3,2.1,0.665,1.0,0.0,0.0,0.0,1.0,0.0,1.72,0.0
22,Ashe,Ashe,610,101,280,35.0,325,26,4.6,30,1.3,600,3.5,0.55,7.0,0.65,0,0,59,3.45,3.33,0.658,1.0,0.0,0.0,0.0,1.0,0.0,1.73,0.0
